Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
42080219,Mahabharata,William Buck,"Buck, William","B.A. van Nooten, Shirley Triest","=""0520305582""","=""9780520305588""",0,4.31,University of California Press,Paperback,320,2019,1951,,2020/08/08,to-read,to-read (#747),to-read,,,,0,,,0,,,,,
18899882,Black Orchid Deluxe Edition,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""""","=""9781401246631""",0,3.73,Vertigo,Kindle Edition,176,2013,1990,2020/08/08,2020/02/09,,,read,"I really enjoyed this graphic novel - it was ethereal and emotionally melancholic in its tone with beautiful visuals. <br/><br/>Black Orchid is searching for meaning in a body she did not expect to possess, and what should she do with this new life at her disposal? What does she want to do?<br/><br/>This resonates with me at this time in my life, and I would recommend giving this novel a try if you believe such a sentiment would resonant with you as well. ",true,,1,,,0,,,,,
53064,Death in Venice and Other Tales,Thomas Mann,"Mann, Thomas",Joachim Neugroschel,"=""0141181737""","=""9780141181738""",0,3.91,Penguin Classics,Paperback,384,1999,1911,,2020/08/08,to-read,to-read (#745),to-read,,,,0,,,0,,,,,
15734312,Collected Stories,Vladimir Nabokov,"Nabokov, Vladimir",,"=""""","=""""",0,4.30,Penguin Classics,Paperback,816,2001,1995,,2020/08/08,to-read,to-read (#744),to-read,,,,0,,,0,,,,,
12693642,Lean from the Trenches,Henrik Kniberg,"Kniberg, Henrik",,"=""1934356859""","=""9781934356852""",0,4.21,Pragmatic Bookshelf,Paperback,176,2011,2011,,2020/07/22,"to-read, tr-brain-power-needed-work-related","to-read (#705), tr-brain-power-needed-work-related (#36)",to-read,,,,0,,,0,,,,,
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.28,Basic Books,Paperback,756,1999,1979,,2020/02/12,"to-read, tr-brain-power-needed-work-related","to-read (#167), tr-brain-power-needed-work-related (#35)",to-read,,,,0,,,0,,,,,
38212110,"Technically Wrong: Sexist Apps, Biased Algorithms, and Other Threats of Toxic Tech",Sara Wachter-Boettcher,"Wachter-Boettcher, Sara",,"=""0393356043""","=""9780393356045""",0,4.11,W. W. Norton  Company,Paperback,240,2018,2017,,2020/02/12,"to-read, tr-brain-power-needed-work-related","to-read (#166), tr-brain-power-needed-work-related (#33)",to-read,,,,0,,,0,,,,,
38721715,The Leader Habit: Master the Skills You Need to Lead--in Just Minutes a Day,Martin Lanik,"Lanik, Martin",,"=""""","=""""",0,3.80,AMACOM,Kindle Edition,256,2018,,,2020/02/12,"to-read, tr-brain-power-needed-work-related","to-read (#176), tr-brain-power-needed-work-related (#26)",to-read,,,,0,,,0,,,,,
18197267,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability",Steve Krug,"Krug, Steve",,"=""0321965515""","=""9780321965516""",0,4.24,New Riders Publishing,Paperback,200,2013,2000,,2020/07/21,"to-read, tr-brain-power-needed-work-related","to-read (#697), tr-brain-power-needed-work-related (#14)",to-read,,,,0,,,0,,,,,
907137,Dinosaur Brains: Dealing with All THOSE Impossible People at Work,Albert J. Bernstein,"Bernstein, Albert J.",,"=""0345410211""","=""9780345410214""",0,3.61,Ballantine Books,Paperback,272,1996,1989,,2020/07/22,"to-read, tr-brain-power-needed-work-related","to-read (#701), tr-brain-power-needed-work-related (#13)",to-read,,,,0,,,0,,,,,
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2020/07/22,"to-read, tr-brain-power-needed-work-related","to-read (#700), tr-brain-power-needed-work-related (#12)",to-read,,,,0,,,0,,,,,
3296910,Web Form Design: Filling in the Blanks,Luke Wroblewski,"Wroblewski, Luke","Bob Baxley, Aaron Gustafson, Jared Spool, Caroline Jarrett, Peter Wallack, James Reffell, Jack Moffett, Micah Alpern","=""1933820241""","=""9781933820248""",0,4.04,Rosenfeld Media,Paperback,226,2008,2008,,2020/07/21,"to-read, tr-brain-power-needed-work-related","to-read (#698), tr-brain-power-needed-work-related (#11)",to-read,,,,0,,,0,,,,,
4845,Code Complete,Steve McConnell,"McConnell, Steve",,"=""0735619670""","=""9780735619678""",0,4.30,Microsoft Press,Paperback,914,2004,1993,,2020/07/22,"to-read, tr-brain-power-needed-work-related","to-read (#702), tr-brain-power-needed-work-related (#10)",to-read,,,,0,,,0,,,,,
44919,Working Effectively with Legacy Code,Michael C. Feathers,"Feathers, Michael C.",,"=""0131177052""","=""0076092025986""",0,4.13,Pearson,Paperback,464,2004,2004,,2020/07/22,"to-read, tr-brain-power-needed-work-related","to-read (#704), tr-brain-power-needed-work-related (#5)",to-read,,,,0,,,0,,,,,
